celltype	allele	ymin	lower	middle	upper	ymax
Epi	HP1	0.196425449666961	0.491063624167402	0.785701798667843	1.17855269800176	1.96425449666961
PaE	HP1	0.147478921575134	0.294957843150268	0.294957843150268	0.589915686300535	1.76974705890161
PaE	HP2	0.147478921575134	0.294957843150268	0.442436764725402	0.589915686300535	2.65462058835241
VE	HP1	0.126564975927342	0.253129951854683	0.253129951854683	0.506259903709366	1.26564975927342
VE	HP2	0.126564975927342	0.126564975927342	0.253129951854683	0.506259903709366	1.89847463891012
ExE	HP1	0.252248798034477	0.504497596068955	0.504497596068955	0.504497596068955	1.51349278820686
ExE	HP2	0.252248798034477	0.504497596068955	0.882870793120671	2.39636358132754	3.53148317248268
Epi	HP2	0	0	0	0	0
